"","Group"
"Tumor1","Primary Tumor"
"Tumor2","Primary Tumor"
"Tumor3","Primary Tumor"
"Tumor4","Primary Tumor"
"Tumor5","Primary Tumor"
"Tumor6","Primary Tumor"
"Tumor7","Primary Tumor"
"Tumor8","Primary Tumor"
"Tumor9","Primary Tumor"
"Tumor10","Primary Tumor"
"Tumor11","Primary Tumor"
"Tumor12","Primary Tumor"
"Tumor13","Primary Tumor"
"Tumor14","Primary Tumor"
"Tumor15","Primary Tumor"
"Tumor16","Primary Tumor"
"Tumor17","Primary Tumor"
"Tumor18","Primary Tumor"
"Tumor19","Primary Tumor"
"Tumor20","Primary Tumor"
"Tumor21","Primary Tumor"
"Tumor22","Primary Tumor"
"Tumor23","Primary Tumor"
"Tumor24","Primary Tumor"
"Tumor25","Primary Tumor"
"Tumor26","Primary Tumor"
"Tumor27","Primary Tumor"
"Tumor28","Primary Tumor"
"Tumor29","Primary Tumor"
"Tumor30","Primary Tumor"
"Tumor31","Primary Tumor"
"Tumor32","Primary Tumor"
"Tumor33","Primary Tumor"
"Tumor34","Primary Tumor"
"Tumor35","Primary Tumor"
"Tumor36","Primary Tumor"
"Tumor37","Primary Tumor"
"Tumor38","Primary Tumor"
"Tumor39","Primary Tumor"
"Tumor40","Primary Tumor"
"Tumor41","Primary Tumor"
"Tumor42","Primary Tumor"
"Tumor43","Primary Tumor"
"Tumor44","Primary Tumor"
"Tumor45","Primary Tumor"
"Tumor46","Primary Tumor"
"Tumor47","Primary Tumor"
"Tumor48","Primary Tumor"
"Tumor49","Primary Tumor"
"Tumor50","Primary Tumor"
"Tumor51","Primary Tumor"
"Tumor52","Primary Tumor"
"Tumor53","Primary Tumor"
"Tumor54","Primary Tumor"
"Tumor55","Primary Tumor"
"Tumor56","Primary Tumor"
"Tumor57","Primary Tumor"
"Tumor58","Primary Tumor"
"Tumor59","Primary Tumor"
"Tumor60","Primary Tumor"
"Tumor61","Primary Tumor"
"Tumor62","Primary Tumor"
"Tumor63","Primary Tumor"
"Tumor64","Primary Tumor"
"Tumor65","Primary Tumor"
"Tumor66","Primary Tumor"
"Tumor67","Primary Tumor"
"Tumor68","Primary Tumor"
"Tumor69","Primary Tumor"
"Tumor70","Primary Tumor"
"Tumor71","Primary Tumor"
"Tumor72","Primary Tumor"
"Tumor73","Primary Tumor"
"Tumor74","Primary Tumor"
"Tumor75","Primary Tumor"
"Tumor76","Primary Tumor"
"Tumor77","Primary Tumor"
"Tumor78","Primary Tumor"
"Tumor79","Primary Tumor"
"Tumor80","Primary Tumor"
"Tumor81","Primary Tumor"
"Tumor82","Primary Tumor"
"Tumor83","Primary Tumor"
"Tumor84","Primary Tumor"
"Tumor85","Primary Tumor"
"Tumor86","Primary Tumor"
"Tumor87","Primary Tumor"
"Tumor88","Primary Tumor"
"Tumor89","Primary Tumor"
"Tumor90","Primary Tumor"
"Tumor91","Primary Tumor"
"Tumor92","Primary Tumor"
"Tumor93","Primary Tumor"
"Tumor94","Primary Tumor"
"Tumor95","Primary Tumor"
"Tumor96","Primary Tumor"
"Tumor97","Primary Tumor"
"Tumor98","Primary Tumor"
"Tumor99","Primary Tumor"
"Tumor100","Primary Tumor"
"Tumor101","Primary Tumor"
"Tumor102","Primary Tumor"
"Tumor103","Primary Tumor"
"Tumor104","Primary Tumor"
"Tumor105","Primary Tumor"
"Tumor106","Primary Tumor"
"Tumor107","Primary Tumor"
"Tumor108","Primary Tumor"
"Tumor109","Primary Tumor"
"Tumor110","Primary Tumor"
"Tumor111","Primary Tumor"
"Tumor112","Primary Tumor"
"Tumor113","Primary Tumor"
"Tumor114","Primary Tumor"
"Tumor115","Primary Tumor"
"Tumor116","Primary Tumor"
"Tumor117","Primary Tumor"
"Tumor118","Primary Tumor"
"Tumor119","Primary Tumor"
"Tumor120","Primary Tumor"
"Tumor121","Primary Tumor"
"Tumor122","Primary Tumor"
"Tumor123","Primary Tumor"
"Tumor124","Primary Tumor"
"Tumor125","Primary Tumor"
"Tumor126","Primary Tumor"
"Tumor127","Primary Tumor"
"Tumor128","Primary Tumor"
"Tumor129","Primary Tumor"
"Tumor130","Primary Tumor"
"Tumor131","Primary Tumor"
"Tumor132","Primary Tumor"
"Tumor133","Primary Tumor"
"Tumor134","Primary Tumor"
"Tumor135","Primary Tumor"
"Tumor136","Primary Tumor"
"Tumor137","Primary Tumor"
"Tumor138","Primary Tumor"
"Tumor139","Primary Tumor"
"Tumor140","Primary Tumor"
"Tumor141","Primary Tumor"
"Tumor142","Primary Tumor"
"Tumor143","Primary Tumor"
"Tumor144","Primary Tumor"
"Tumor145","Primary Tumor"
"Tumor146","Primary Tumor"
"Tumor147","Primary Tumor"
"Tumor148","Primary Tumor"
"Tumor149","Primary Tumor"
"Tumor150","Primary Tumor"
"Tumor151","Primary Tumor"
"Tumor152","Primary Tumor"
"Tumor153","Primary Tumor"
"Tumor154","Primary Tumor"
"Tumor155","Primary Tumor"
"Tumor156","Primary Tumor"
"Tumor157","Primary Tumor"
"Tumor158","Primary Tumor"
"Tumor159","Primary Tumor"
"Tumor160","Primary Tumor"
"Tumor161","Primary Tumor"
"Tumor162","Primary Tumor"
"Tumor163","Primary Tumor"
"Tumor164","Primary Tumor"
"Tumor165","Primary Tumor"
"Tumor166","Primary Tumor"
"Tumor167","Primary Tumor"
"Tumor168","Primary Tumor"
"Tumor169","Primary Tumor"
"Tumor170","Primary Tumor"
"Tumor171","Primary Tumor"
"Tumor172","Primary Tumor"
"Tumor173","Primary Tumor"
"Tumor174","Primary Tumor"
"Tumor175","Primary Tumor"
"Tumor176","Primary Tumor"
"Tumor177","Primary Tumor"
"Tumor178","Primary Tumor"
"Tumor179","Primary Tumor"
"Tumor180","Primary Tumor"
"Tumor181","Primary Tumor"
"Tumor182","Primary Tumor"
"Tumor183","Primary Tumor"
"Tumor184","Primary Tumor"
"Tumor185","Primary Tumor"
"Tumor186","Primary Tumor"
"Tumor187","Primary Tumor"
"Tumor188","Primary Tumor"
"Tumor189","Primary Tumor"
"Tumor190","Primary Tumor"
"Tumor191","Primary Tumor"
"Tumor192","Primary Tumor"
"Tumor193","Primary Tumor"
"Tumor194","Primary Tumor"
"Tumor195","Primary Tumor"
"Tumor196","Primary Tumor"
"Tumor197","Primary Tumor"
"Tumor198","Primary Tumor"
"Tumor199","Primary Tumor"
"Tumor200","Primary Tumor"
"Tumor201","Primary Tumor"
"Tumor202","Primary Tumor"
"Tumor203","Primary Tumor"
"Tumor204","Primary Tumor"
"Tumor205","Primary Tumor"
"Tumor206","Primary Tumor"
"Tumor207","Primary Tumor"
"Tumor208","Primary Tumor"
"Tumor209","Primary Tumor"
"Tumor210","Primary Tumor"
"Tumor211","Primary Tumor"
"Tumor212","Primary Tumor"
"Tumor213","Primary Tumor"
"Tumor214","Primary Tumor"
"Tumor215","Primary Tumor"
"Tumor216","Primary Tumor"
"Tumor217","Primary Tumor"
"Tumor218","Primary Tumor"
"Tumor219","Primary Tumor"
"Tumor220","Primary Tumor"
"Tumor221","Primary Tumor"
"Tumor222","Primary Tumor"
"Tumor223","Primary Tumor"
"Tumor224","Primary Tumor"
"Tumor225","Primary Tumor"
"Tumor226","Primary Tumor"
"Tumor227","Primary Tumor"
"Tumor228","Primary Tumor"
"Tumor229","Primary Tumor"
"Tumor230","Primary Tumor"
"Tumor231","Primary Tumor"
"Tumor232","Primary Tumor"
"Tumor233","Primary Tumor"
"Tumor234","Primary Tumor"
"Tumor235","Primary Tumor"
"Tumor236","Primary Tumor"
"Tumor237","Primary Tumor"
"Tumor238","Primary Tumor"
"Tumor239","Primary Tumor"
"Tumor240","Primary Tumor"
"Tumor241","Primary Tumor"
"Tumor242","Primary Tumor"
"Tumor243","Primary Tumor"
"Tumor244","Primary Tumor"
"Tumor245","Primary Tumor"
"Tumor246","Primary Tumor"
"Tumor247","Primary Tumor"
"Tumor248","Primary Tumor"
"Tumor249","Primary Tumor"
"Tumor250","Primary Tumor"
"Tumor251","Primary Tumor"
"Tumor252","Primary Tumor"
"Tumor253","Primary Tumor"
"Tumor254","Primary Tumor"
"Tumor255","Primary Tumor"
"Tumor256","Primary Tumor"
"Tumor257","Primary Tumor"
"Tumor258","Primary Tumor"
"Tumor259","Primary Tumor"
"Tumor260","Primary Tumor"
"Tumor261","Primary Tumor"
"Tumor262","Primary Tumor"
"Tumor263","Primary Tumor"
"Tumor264","Primary Tumor"
"Tumor265","Primary Tumor"
"Tumor266","Primary Tumor"
"Tumor267","Primary Tumor"
"Tumor268","Primary Tumor"
"Tumor269","Primary Tumor"
"Tumor270","Primary Tumor"
"Tumor271","Primary Tumor"
"Tumor272","Primary Tumor"
"Tumor273","Primary Tumor"
"Tumor274","Primary Tumor"
"Tumor275","Primary Tumor"
"Tumor276","Primary Tumor"
"Tumor277","Primary Tumor"
"Tumor278","Primary Tumor"
"Tumor279","Primary Tumor"
"Tumor280","Primary Tumor"
"Tumor281","Primary Tumor"
"Tumor282","Primary Tumor"
"Tumor283","Primary Tumor"
"Tumor284","Primary Tumor"
"Tumor285","Primary Tumor"
"Tumor286","Primary Tumor"
"Tumor287","Primary Tumor"
"Tumor288","Primary Tumor"
"Tumor289","Primary Tumor"
"Tumor290","Primary Tumor"
"Tumor291","Primary Tumor"
"Tumor292","Primary Tumor"
"Tumor293","Primary Tumor"
"Tumor294","Primary Tumor"
"Tumor295","Primary Tumor"
"Tumor296","Primary Tumor"
"Tumor297","Primary Tumor"
"Tumor298","Primary Tumor"
"Tumor299","Primary Tumor"
"Tumor300","Primary Tumor"
"Tumor301","Primary Tumor"
"Tumor302","Primary Tumor"
"Tumor303","Primary Tumor"
"Tumor304","Primary Tumor"
"Tumor305","Primary Tumor"
"Tumor306","Primary Tumor"
"Tumor307","Primary Tumor"
"Tumor308","Primary Tumor"
"Tumor309","Primary Tumor"
"Tumor310","Primary Tumor"
"Tumor311","Primary Tumor"
"Tumor312","Primary Tumor"
"Tumor313","Primary Tumor"
"Tumor314","Primary Tumor"
"Tumor315","Primary Tumor"
"Tumor316","Primary Tumor"
"Tumor317","Primary Tumor"
"Tumor318","Primary Tumor"
"Tumor319","Primary Tumor"
"Tumor320","Primary Tumor"
"Tumor321","Primary Tumor"
"Tumor322","Primary Tumor"
"Tumor323","Primary Tumor"
"Tumor324","Primary Tumor"
"Tumor325","Primary Tumor"
"Tumor326","Primary Tumor"
"Tumor327","Primary Tumor"
"Tumor328","Primary Tumor"
"Tumor329","Primary Tumor"
"Tumor330","Primary Tumor"
"Tumor331","Primary Tumor"
"Tumor332","Primary Tumor"
"Tumor333","Primary Tumor"
"Tumor334","Primary Tumor"
"Tumor335","Primary Tumor"
"Tumor336","Primary Tumor"
"Tumor337","Primary Tumor"
"Tumor338","Primary Tumor"
"Tumor339","Primary Tumor"
"Tumor340","Primary Tumor"
"Tumor341","Primary Tumor"
"Tumor342","Primary Tumor"
"Tumor343","Primary Tumor"
"Tumor344","Primary Tumor"
"Tumor345","Primary Tumor"
"Tumor346","Primary Tumor"
"Tumor347","Primary Tumor"
"Tumor348","Primary Tumor"
"Tumor349","Primary Tumor"
"Tumor350","Primary Tumor"
"Tumor351","Primary Tumor"
"Tumor352","Primary Tumor"
"Tumor353","Primary Tumor"
"Tumor354","Primary Tumor"
"Tumor355","Primary Tumor"
"Tumor356","Primary Tumor"
"Tumor357","Primary Tumor"
"Tumor358","Primary Tumor"
"Tumor359","Primary Tumor"
"Tumor360","Primary Tumor"
"Tumor361","Primary Tumor"
"Tumor362","Primary Tumor"
"Tumor363","Primary Tumor"
"Tumor364","Primary Tumor"
"Tumor365","Primary Tumor"
"Tumor366","Primary Tumor"
"Tumor367","Primary Tumor"
"Tumor368","Primary Tumor"
"Tumor369","Primary Tumor"
"Tumor370","Primary Tumor"
"Tumor371","Primary Tumor"
"Tumor372","Primary Tumor"
"Tumor373","Primary Tumor"
"Tumor374","Primary Tumor"
"Tumor375","Primary Tumor"
"Tumor376","Primary Tumor"
"Tumor377","Primary Tumor"
"Tumor378","Primary Tumor"
"Tumor379","Primary Tumor"
"Tumor380","Primary Tumor"
"Tumor381","Primary Tumor"
"Tumor382","Primary Tumor"
"Tumor383","Primary Tumor"
"Tumor384","Primary Tumor"
"Tumor385","Primary Tumor"
"Tumor386","Primary Tumor"
"Tumor387","Primary Tumor"
"Tumor388","Primary Tumor"
"Tumor389","Primary Tumor"
"Tumor390","Primary Tumor"
"Tumor391","Primary Tumor"
"Tumor392","Primary Tumor"
"Tumor393","Primary Tumor"
"Tumor394","Primary Tumor"
"Tumor395","Primary Tumor"
"Tumor396","Primary Tumor"
"Tumor397","Primary Tumor"
"Tumor398","Primary Tumor"
"Tumor399","Primary Tumor"
"Tumor400","Primary Tumor"
"Tumor401","Primary Tumor"
"Tumor402","Primary Tumor"
"Tumor403","Primary Tumor"
"Tumor404","Primary Tumor"
"Tumor405","Primary Tumor"
"Tumor406","Primary Tumor"
"Tumor407","Primary Tumor"
"Tumor408","Primary Tumor"
"Tumor409","Primary Tumor"
"Tumor410","Primary Tumor"
"Tumor411","Primary Tumor"
"Tumor412","Primary Tumor"
"Tumor413","Primary Tumor"
"Tumor414","Primary Tumor"
"Tumor415","Primary Tumor"
"Tumor416","Primary Tumor"
"Tumor417","Primary Tumor"
"Tumor418","Primary Tumor"
"Tumor419","Primary Tumor"
"Tumor420","Primary Tumor"
"Tumor421","Primary Tumor"
"Tumor422","Primary Tumor"
"Tumor423","Primary Tumor"
"Tumor424","Primary Tumor"
"Tumor425","Primary Tumor"
"Tumor426","Primary Tumor"
"Tumor427","Primary Tumor"
"Tumor428","Primary Tumor"
"Tumor429","Primary Tumor"
"Tumor430","Primary Tumor"
"Tumor431","Primary Tumor"
"Tumor432","Primary Tumor"
"Tumor433","Primary Tumor"
"Tumor434","Primary Tumor"
"Tumor435","Primary Tumor"
"Tumor436","Primary Tumor"
"Tumor437","Primary Tumor"
"Tumor438","Primary Tumor"
"Tumor439","Primary Tumor"
"Tumor440","Primary Tumor"
"Tumor441","Primary Tumor"
"Tumor442","Primary Tumor"
"Tumor443","Primary Tumor"
"Tumor444","Primary Tumor"
"Tumor445","Primary Tumor"
"Tumor446","Primary Tumor"
"Tumor447","Primary Tumor"
"Tumor448","Primary Tumor"
"Tumor449","Primary Tumor"
"Tumor450","Primary Tumor"
"Tumor451","Primary Tumor"
"Tumor452","Primary Tumor"
"Tumor453","Primary Tumor"
"Tumor454","Primary Tumor"
"Tumor455","Primary Tumor"
"Tumor456","Primary Tumor"
"Tumor457","Primary Tumor"
"Tumor458","Primary Tumor"
"Tumor459","Primary Tumor"
"Tumor460","Primary Tumor"
"Tumor461","Primary Tumor"
"Tumor462","Primary Tumor"
"Tumor463","Primary Tumor"
"Tumor464","Primary Tumor"
"Tumor465","Primary Tumor"
"Tumor466","Primary Tumor"
"Tumor467","Primary Tumor"
"Tumor468","Primary Tumor"
"Tumor469","Primary Tumor"
"Tumor470","Primary Tumor"
"Tumor471","Primary Tumor"
"Tumor472","Primary Tumor"
"Tumor473","Primary Tumor"
"Tumor474","Primary Tumor"
"Tumor475","Primary Tumor"
"Tumor476","Primary Tumor"
"Tumor477","Primary Tumor"
"Tumor478","Primary Tumor"
"Tumor479","Primary Tumor"
"Tumor480","Primary Tumor"
"Tumor481","Primary Tumor"
"Tumor482","Primary Tumor"
"Tumor483","Primary Tumor"
"Tumor484","Primary Tumor"
"Tumor485","Primary Tumor"
"Tumor486","Primary Tumor"
"Tumor487","Primary Tumor"
"Tumor488","Primary Tumor"
"Tumor489","Primary Tumor"
"Tumor490","Primary Tumor"
"Tumor491","Primary Tumor"
"Tumor492","Primary Tumor"
"Tumor493","Primary Tumor"
"Tumor494","Primary Tumor"
"Tumor495","Primary Tumor"
"Tumor496","Primary Tumor"
"Tumor497","Primary Tumor"
"Tumor498","Primary Tumor"
"Solid Tissue Normal1","Solid Tissue Normal"
"Solid Tissue Normal2","Solid Tissue Normal"
"Solid Tissue Normal3","Solid Tissue Normal"
"Solid Tissue Normal4","Solid Tissue Normal"
"Solid Tissue Normal5","Solid Tissue Normal"
"Solid Tissue Normal6","Solid Tissue Normal"
"Solid Tissue Normal7","Solid Tissue Normal"
"Solid Tissue Normal8","Solid Tissue Normal"
"Solid Tissue Normal9","Solid Tissue Normal"
"Solid Tissue Normal10","Solid Tissue Normal"
"Solid Tissue Normal11","Solid Tissue Normal"
"Solid Tissue Normal12","Solid Tissue Normal"
"Solid Tissue Normal13","Solid Tissue Normal"
"Solid Tissue Normal14","Solid Tissue Normal"
"Solid Tissue Normal15","Solid Tissue Normal"
"Solid Tissue Normal16","Solid Tissue Normal"
"Solid Tissue Normal17","Solid Tissue Normal"
"Solid Tissue Normal18","Solid Tissue Normal"
"Solid Tissue Normal19","Solid Tissue Normal"
"Solid Tissue Normal20","Solid Tissue Normal"
"Solid Tissue Normal21","Solid Tissue Normal"
"Solid Tissue Normal22","Solid Tissue Normal"
"Solid Tissue Normal23","Solid Tissue Normal"
"Solid Tissue Normal24","Solid Tissue Normal"
"Solid Tissue Normal25","Solid Tissue Normal"
"Solid Tissue Normal26","Solid Tissue Normal"
"Solid Tissue Normal27","Solid Tissue Normal"
"Solid Tissue Normal28","Solid Tissue Normal"
"Solid Tissue Normal29","Solid Tissue Normal"
"Solid Tissue Normal30","Solid Tissue Normal"
"Solid Tissue Normal31","Solid Tissue Normal"
"Solid Tissue Normal32","Solid Tissue Normal"
"Solid Tissue Normal33","Solid Tissue Normal"
"Solid Tissue Normal34","Solid Tissue Normal"
"Solid Tissue Normal35","Solid Tissue Normal"
"Solid Tissue Normal36","Solid Tissue Normal"
"Solid Tissue Normal37","Solid Tissue Normal"
"Solid Tissue Normal38","Solid Tissue Normal"
"Solid Tissue Normal39","Solid Tissue Normal"
"Solid Tissue Normal40","Solid Tissue Normal"
"Solid Tissue Normal41","Solid Tissue Normal"
"Solid Tissue Normal42","Solid Tissue Normal"
"Solid Tissue Normal43","Solid Tissue Normal"
"Solid Tissue Normal44","Solid Tissue Normal"
"Solid Tissue Normal45","Solid Tissue Normal"
"Solid Tissue Normal46","Solid Tissue Normal"
"Solid Tissue Normal47","Solid Tissue Normal"
"Solid Tissue Normal48","Solid Tissue Normal"
"Solid Tissue Normal49","Solid Tissue Normal"
"Solid Tissue Normal50","Solid Tissue Normal"
"Solid Tissue Normal51","Solid Tissue Normal"
"Solid Tissue Normal52","Solid Tissue Normal"
